"Name","Price","Capacity","Total Sold","Total Complimentary/Blocked","Available for sale","Fill %","Total Discount","Total Revenue","Printed","Online","Issued","Paytm","Onground","Blocked","Complimentary","Corporate","Paytm H5"
"Register Ticket","0","99","44","0","55","44.44%","0","0","0","44","0","0","0","0","0","0","0"
"","","99","44","0","55","","0","0","0","44","0","0","0","0","0","0","0"
